"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 30","1,714.36","1,710.33","1,718.13","1,696.48","","0.38%"
"2023- 06- 29","1,707.81","1,714.36","1,724.93","1,707.81","","-0.10%"
"2023- 06- 28","1,709.57","1,724.17","1,724.17","1,706.55","","-0.59%"
"2023- 06- 27","1,719.64","1,718.38","1,720.65","1,711.08","","0.04%"
"2023- 06- 26","1,718.89","1,710.83","1,722.41","1,707.31","","0.34%"
"2023- 06- 23","1,713.10","1,728.96","1,728.96","1,710.08","","-0.58%"
"2023- 06- 22","1,723.17","1,713.60","1,727.45","1,713.35","","0.32%"
"2023- 06- 21","1,717.63","1,729.21","1,729.46","1,716.62","","-0.87%"
"2023- 06- 20","1,732.73","1,732.48","1,735.75","1,726.19","","-0.28%"
"2023- 06- 19","1,737.52","1,743.06","1,743.31","1,731.22","","-0.63%"
"2023- 06- 16","1,748.59","1,747.08","1,748.85","1,736.51","","0.62%"
"2023- 06- 15","1,737.77","1,750.36","1,754.38","1,736.01","","-0.36%"
"2023- 06- 14","1,744.06","1,751.11","1,754.89","1,741.04","","-0.57%"
"2023- 06- 13","1,754.13","1,754.38","1,758.66","1,747.84","","0.50%"
"2023- 06- 12","1,745.32","1,759.92","1,762.44","1,740.03","","-0.82%"
"2023- 06- 09","1,759.67","1,742.05","1,759.67","1,736.01","","1.47%"
"2023- 06- 08","1,734.24","1,731.38","1,735.07","1,724.35","","-0.08%"
"2023- 06- 07","1,735.64","1,745.66","1,748.80","1,735.59","","-0.24%"
"2023- 06- 05","1,739.88","1,743.56","1,744.07","1,736.47","","0.31%"
"2023- 06- 02","1,734.47","1,720.96","1,734.62","1,720.96","","1.44%"
"2023- 06- 01","1,709.90","1,712.68","1,718.50","1,706.10","","-0.28%"
"2023- 05- 31","1,714.70","1,727.10","1,733.16","1,714.45","","-0.89%"
"2023- 05- 30","1,730.13","1,722.29","1,730.13","1,719.00","","1.26%"
"2023- 05- 26","1,708.63","1,703.32","1,710.91","1,699.28","","0.54%"
"2023- 05- 25","1,699.53","1,708.89","1,711.42","1,695.73","","-0.25%"
"2023- 05- 24","1,703.83","1,697.51","1,708.63","1,697.51","","-0.34%"
"2023- 05- 23","1,709.64","1,708.13","1,714.45","1,703.83","","0.30%"
"2023- 05- 22","1,704.59","1,692.19","1,710.40","1,689.16","","0.67%"
"2023- 05- 19","1,693.21","1,681.83","1,693.96","1,681.32","","1.50%"
"2023- 05- 18","1,668.17","1,663.36","1,670.44","1,658.56","","1.01%"
"2023- 05- 17","1,651.48","1,647.68","1,658.81","1,644.65","","0.29%"
"2023- 05- 16","1,646.67","1,654.76","1,660.08","1,644.65","","0.12%"
"2023- 05- 15","1,644.65","1,635.54","1,644.90","1,628.97","","0.26%"
"2023- 05- 12","1,640.35","1,642.12","1,647.68","1,636.30","","-0.34%"
"2023- 05- 11","1,645.91","1,658.30","1,664.12","1,645.91","","-0.34%"
"2023- 05- 10","1,651.48","1,659.82","1,660.58","1,646.17","","-0.64%"
"2023- 05- 09","1,662.10","1,664.88","1,665.89","1,657.55","","-0.42%"
"2023- 05- 08","1,669.18","1,664.63","1,673.23","1,663.62","","1.29%"
"2023- 05- 04","1,647.94","1,647.43","1,652.24","1,642.37","","-0.31%"
"2023- 05- 03","1,652.99","1,656.79","1,661.34","1,650.97","","-0.97%"
"2023- 05- 02","1,669.18","1,655.78","1,669.69","1,654.76","","1.10%"
"2023- 04- 28","1,650.97","1,659.06","1,666.14","1,645.66","","0.17%"
"2023- 04- 27","1,648.19","1,642.88","1,650.72","1,628.97","","0.18%"
"2023- 04- 26","1,645.15","1,647.94","1,652.49","1,641.61","","-0.15%"
"2023- 04- 25","1,647.68","1,672.21","1,674.49","1,638.33","","-1.27%"
"2023- 04- 24","1,668.93","1,674.24","1,677.27","1,667.16","","-0.60%"
"2023- 04- 21","1,679.04","1,684.35","1,688.40","1,673.98","","-0.66%"
"2023- 04- 20","1,690.17","1,685.11","1,693.71","1,682.58","","-0.28%"
"2023- 04- 19","1,694.98","1,693.46","1,700.79","1,690.68","","-0.01%"
"2023- 04- 18","1,695.23","1,699.02","1,699.02","1,682.33","","-0.07%"
"2023- 04- 17","1,696.49","1,693.46","1,698.26","1,687.39","","0.06%"
"2023- 04- 14","1,695.48","1,702.31","1,705.60","1,689.92","","0.27%"
"2023- 04- 13","1,690.93","1,675.76","1,692.19","1,674.49","","0.25%"
"2023- 04- 12","1,686.63","1,680.31","1,691.44","1,677.02","","0.39%"
"2023- 04- 11","1,680.05","1,663.87","1,685.37","1,662.10","","1.28%"
"2023- 04- 10","1,658.81","1,641.36","1,666.65","1,640.35","","0.95%"
"2023- 04- 07","1,643.13","1,628.46","1,645.91","1,628.46","","1.60%"
"2023- 04- 06","1,617.33","1,637.06","1,637.57","1,614.30","","-1.84%"
"2023- 04- 05","1,647.68","1,636.05","1,647.68","1,633.77","","0.63%"
"2023- 04- 04","1,637.31","1,630.49","1,641.11","1,627.45","","0.50%"
"2023- 04- 03","1,629.22","1,640.10","1,640.10","1,625.43","","-0.49%"
"2023- 03- 31","1,637.31","1,624.16","1,641.61","1,621.89","","1.19%"
"2023- 03- 30","1,618.09","1,615.82","1,625.43","1,609.75","","0.63%"
"2023- 03- 29","1,607.98","1,603.17","1,609.24","1,597.86","","0.14%"
"2023- 03- 28","1,605.70","1,594.83","1,605.95","1,590.53","","1.02%"
"2023- 03- 27","1,589.51","1,598.62","1,598.62","1,578.13","","-0.33%"
"2023- 03- 24","1,594.83","1,599.38","1,601.65","1,585.47","","-0.25%"
"2023- 03- 23","1,598.87","1,583.19","1,601.15","1,581.67","","0.22%"
