"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 17","18.03","18.00","18.65","17.80","1.15K","-1.19%"
"2024- 04- 16","18.25","18.50","19.70","17.50","104.27K","-0.87%"
"2024- 04- 15","18.41","17.05","18.70","15.95","150.98K","7.72%"
"2024- 04- 12","17.09","15.00","18.10","15.00","200.30K","13.74%"
"2024- 04- 11","15.02","15.50","16.30","14.95","116.86K","-1.91%"
"2024- 04- 10","15.32","15.00","16.20","14.75","153.09K","1.60%"
"2024- 04- 09","15.08","15.30","16.00","14.95","126.61K","-1.77%"
"2024- 04- 08","15.35","16.00","16.02","15.15","110.61K","-4.54%"
"2024- 04- 05","16.08","15.96","16.35","15.43","141.00K","1.56%"
"2024- 04- 04","15.83","14.90","16.35","14.45","164.60K","5.93%"
"2024- 04- 03","14.94","15.00","15.40","14.70","92.57K","-0.37%"
"2024- 04- 02","15.00","14.65","15.65","14.45","129.00K","3.43%"
"2024- 04- 01","14.50","14.35","14.80","14.15","65.36K","0.93%"
"2024- 03- 28","14.37","14.05","14.40","14.05","67.83K","2.15%"
"2024- 03- 27","14.07","14.35","14.45","14.04","58.79K","-1.95%"
"2024- 03- 26","14.35","14.40","14.40","14.10","51.35K","-0.38%"
"2024- 03- 25","14.40","14.50","14.75","14.25","58.08K","-0.56%"
"2024- 03- 22","14.48","14.45","14.65","14.25","58.27K","0.17%"
"2024- 03- 21","14.46","14.50","14.65","14.30","79.78K","2.02%"
"2024- 03- 20","14.17","13.90","14.15","13.80","2.78K","1.61%"
"2024- 03- 19","13.94","14.34","14.91","13.80","72.64K","-2.88%"
"2024- 03- 18","14.36","14.60","14.65","14.05","65.27K","-1.65%"
"2024- 03- 15","14.60","14.30","15.55","14.15","116.09K","1.79%"
"2024- 03- 14","14.34","13.80","15.05","13.58","117.66K","3.95%"
"2024- 03- 13","13.80","13.95","14.05","13.70","66.03K","-1.17%"
"2024- 03- 12","13.96","14.85","15.21","13.90","114.94K","-6.28%"
"2024- 03- 11","14.90","15.00","15.65","14.75","111.07K","-1.21%"
"2024- 03- 08","15.08","14.65","15.75","14.20","128.01K","3.15%"
"2024- 03- 07","14.62","14.80","15.10","14.35","63.98K","-1.16%"
"2024- 03- 06","14.79","14.70","14.95","14.25","80.91K","0.59%"
"2024- 03- 05","14.70","14.10","15.25","14.00","131.04K","4.80%"
"2024- 03- 04","14.03","14.00","14.15","13.90","46.45K","-0.13%"
"2024- 03- 01","14.05","14.05","14.25","13.75","70.36K","0.28%"
"2024- 02- 29","14.01","14.30","14.45","13.95","62.29K","-1.51%"
"2024- 02- 28","14.22","13.98","14.40","13.97","51.90K","1.61%"
"2024- 02- 27","14.00","14.30","14.35","13.95","47.46K","-1.78%"
"2024- 02- 26","14.25","14.50","14.60","14.20","59.53K","-1.23%"
"2024- 02- 23","14.43","14.90","15.01","14.40","67.12K","-4.02%"
"2024- 02- 22","15.03","15.05","15.10","14.50","91.40K","-2.05%"
"2024- 02- 21","15.35","15.55","15.75","15.00","89.46K","-1.15%"
"2024- 02- 20","15.53","15.05","15.90","14.90","124.43K","3.85%"
"2024- 02- 16","14.95","15.00","15.25","14.70","91.01K","-0.45%"
"2024- 02- 15","15.02","15.05","15.35","14.84","69.59K","4.88%"
"2024- 02- 14","14.32","15.75","15.75","14.65","2.36K","-9.09%"
"2024- 02- 13","15.75","13.85","17.85","13.61","141.52K","14.12%"
"2024- 02- 12","13.80","13.40","13.90","13.20","58.88K","3.24%"
"2024- 02- 09","13.37","13.35","13.40","13.13","45.69K","0.19%"
"2024- 02- 08","13.35","13.40","13.65","13.30","53.01K","-0.30%"
"2024- 02- 07","13.38","13.58","13.65","13.25","66.52K","-1.24%"
"2024- 02- 06","13.55","13.95","14.05","13.50","72.99K","-2.89%"
"2024- 02- 05","13.96","14.65","14.85","13.85","91.67K","-4.07%"
"2024- 02- 02","14.55","14.40","14.75","14.24","78.11K","-1.02%"
"2024- 02- 01","14.70","14.85","15.01","14.35","96.72K","-1.18%"
"2024- 01- 31","14.87","14.10","15.00","13.84","144.44K","6.29%"
"2024- 01- 30","13.99","14.20","14.30","13.95","56.48K","-1.81%"
"2024- 01- 29","14.25","14.15","14.45","14.09","60.77K","0.95%"
"2024- 01- 26","14.12","14.25","14.45","13.90","57.20K","-0.76%"
"2024- 01- 25","14.23","14.05","14.30","13.90","63.33K","1.34%"
"2024- 01- 24","14.04","13.73","14.15","13.49","69.92K","2.47%"
"2024- 01- 23","13.70","14.08","14.08","13.65","70.54K","-2.70%"
"2024- 01- 22","14.08","14.50","14.52","14.00","70.11K","-3.59%"
"2024- 01- 19","14.61","15.00","15.00","14.48","90.93K","-2.66%"
"2024- 01- 18","15.00","15.45","15.50","14.90","78.72K","-0.83%"
"2024- 01- 17","15.13","13.85","14.75","13.70","1.87K","8.42%"
