"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 09- 25","5,779.00","5,792.25","5,798.75","5,768.00","0.78K","-0.22%"
"2024- 09- 24","5,792.00","5,774.00","5,794.25","5,754.75","1.69K","0.26%"
"2024- 09- 23","5,776.75","5,762.00","5,784.50","5,745.25","0.64K","1.35%"
"2024- 09- 20","5,699.99","5,714.75","5,717.25","5,699.25","0.75K","-0.31%"
"2024- 09- 19","5,717.75","5,631.50","5,737.50","5,631.50","0.50K","1.73%"
"2024- 09- 18","5,620.75","5,639.50","5,696.25","5,613.75","0.70K","-0.32%"
"2024- 09- 17","5,639.00","5,633.25","5,675.50","5,617.00","0.78K","0.02%"
"2024- 09- 16","5,638.00","5,622.75","5,641.50","5,609.25","0.58K","0.15%"
"2024- 09- 13","5,629.75","5,598.50","5,641.50","5,597.25","0.91K","0.49%"
"2024- 09- 12","5,602.25","5,558.00","5,607.00","5,540.25","1.10K","0.74%"
"2024- 09- 11","5,561.25","5,499.25","5,567.50","5,412.00","0.28K","1.04%"
"2024- 09- 10","5,504.00","5,488.25","5,506.00","5,448.25","0.05K","0.45%"
"2024- 09- 09","5,479.50","5,410.00","5,493.00","5,405.25","0.20K","1.11%"
"2024- 09- 06","5,419.50","5,513.00","5,532.50","5,394.00","0.47K","-1.68%"
"2024- 09- 05","5,512.25","5,527.50","5,557.25","5,490.00","0.17K","-0.32%"
"2024- 09- 04","5,530.00","5,538.50","5,565.00","5,506.75","0.33K","-0.21%"
"2024- 09- 03","5,541.75","5,656.25","5,669.75","5,516.75","0.29K","-2.11%"
"2024- 08- 30","5,661.00","5,618.50","5,665.00","5,594.25","0.24K","0.91%"
"2024- 08- 29","5,610.00","5,580.50","5,663.75","5,561.25","0.38K","0.00%"
"2024- 08- 28","5,610.25","5,643.75","5,650.50","5,576.00","0.20K","-0.61%"
"2024- 08- 27","5,644.75","5,630.00","5,649.50","5,611.50","0.12K","0.14%"
"2024- 08- 26","5,637.00","5,650.50","5,669.00","5,619.75","0.15K","-0.27%"
"2024- 08- 23","5,652.50","5,597.75","5,662.25","5,597.75","0.10K","1.05%"
"2024- 08- 22","5,594.00","5,642.00","5,665.25","5,582.75","0.09K","-0.84%"
"2024- 08- 21","5,641.50","5,619.50","5,655.25","5,613.50","0.10K","0.39%"
"2024- 08- 20","5,619.75","5,629.50","5,643.75","5,607.75","0.09K","-0.18%"
"2024- 08- 19","5,630.00","5,584.00","5,631.75","5,565.25","0.08K","0.93%"
