"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 11- 02","15,716.75","14,761.25","15,017.25","14,760.00","652.48K","1.70%"
"2023- 11- 01","15,454.75","14,460.00","14,762.00","14,410.75","741.82K","1.68%"
"2023- 10- 31","15,199.75","14,410.50","14,503.75","14,311.25","712.61K","0.48%"
"2023- 10- 30","15,126.75","14,336.00","14,476.50","14,303.00","704.86K","1.01%"
"2023- 10- 27","14,975.75","14,248.25","14,407.75","14,209.75","782.10K","0.44%"
"2023- 10- 26","14,910.00","14,425.00","14,459.00","14,140.25","0.00K","-1.90%"
"2023- 10- 25","15,198.25","14,828.00","14,855.00","14,444.00","820.68K","-2.40%"
"2023- 10- 24","15,572.25","14,744.00","14,948.75","14,706.00","703.06K","0.87%"
"2023- 10- 23","15,438.25","14,680.00","14,853.75","14,514.25","765.73K","0.28%"
"2023- 10- 20","15,395.75","14,850.00","14,887.50","14,645.00","846.68K","-1.47%"
"2023- 10- 19","15,625.75","15,045.00","15,138.25","14,839.50","1.02M","-0.86%"
"2023- 10- 18","15,761.75","15,236.50","15,238.25","14,979.25","853.60K","-1.37%"
"2023- 10- 17","15,980.00","15,305.75","15,309.25","15,050.25","781.60K","-0.30%"
"2023- 10- 16","16,028.00","15,120.00","15,336.75","15,083.00","641.29K","1.07%"
"2023- 10- 13","15,858.00","15,324.00","15,366.75","15,062.25","777.01K","-1.24%"
"2023- 10- 12","16,057.00","15,407.50","15,468.75","15,216.25","747.49K","-0.39%"
"2023- 10- 11","16,120.50","15,282.25","15,416.75","15,253.00","614.97K","0.68%"
"2023- 10- 10","16,011.00","15,196.50","15,383.50","15,171.75","648.61K","0.53%"
"2023- 10- 09","15,926.00","15,040.25","15,212.75","14,949.50","617.07K","0.47%"
"2023- 10- 06","15,851.00","14,853.75","15,160.25","14,660.00","840.60K","1.73%"
"2023- 10- 05","15,581.00","14,903.00","14,958.75","14,716.25","676.46K","-0.40%"
"2023- 10- 04","15,644.00","14,713.75","14,956.00","14,589.00","803.26K","1.36%"
"2023- 10- 03","15,434.00","14,989.50","15,031.00","14,651.50","762.96K","-1.73%"
"2023- 10- 02","15,706.00","14,965.00","15,046.00","14,826.00","762.90K","0.76%"
"2023- 09- 29","15,587.00","14,876.50","15,060.75","14,811.00","745.54K","0.04%"
"2023- 09- 28","15,581.00","14,772.50","14,947.50","14,658.00","734.47K","0.78%"
